Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.001951,0.0003091,0.004024,0.0006846,0.000495
200,0.01587,0.003657,0.004689,0.003402,0.007422
300,0.05337,0.01123,0.01358,0.02042,0.01343
400,0.1231,0.02243,0.02092,0.01896,0.02572
500,0.2347,0.04364,0.02714,0.03467,0.04922
600,0.3983,0.08404,0.05613,0.06434,0.09134
700,0.6314,0.149,0.1061,0.1428,0.1475
800,0.9602,0.2796,0.1638,0.1813,0.2363
900,1.339,0.3896,0.2772,0.3603,0.4435
1000,1.839,0.5882,0.4526,0.4825,0.6039
1100,2.446,0.8007,0.6828,0.6987,0.833
1200,3.175,1.096,0.8695,1.079,1.09
1300,4.058,1.435,1.123,1.198,1.42
1400,5.035,1.825,1.471,1.495,1.807
1500,6.198,2.31,1.846,1.9,2.433
1600,11.38,3.307,2.384,2.485,3.448
1700,11.75,3.42,2.687,2.829,3.858
1800,16.17,4.009,3.227,3.276,4.435
1900,19.04,5.695,4.045,4.228,5.617
2000,18.47,5.585,4.542,5.048,6.396
2100,23.85,6.523,5.139,5.761,7.746
2200,29.22,7.477,6.204,6.57,8.763
2300,33.79,10.23,7.48,7.802,10.85
2400,37.33,9.864,9.268,8.487,11.47
2500,43.39,13.04,9.141,9.545,13.64
2600,43.84,12.42,10.42,10.88,15.04
2700,49.72,14.07,11.54,12.2,16.93
2800,57.57,15.66,13.08,13.75,18.97
2900,60.61,17.56,14.63,15.14,21
3000,70.64,19.21,16.14,16.89,23.35
