Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.005886,0.001271,0.008987,0.02457,0.08671
200,0.02409,0.00601,0.08903,0.1469,0.04562
300,0.07461,0.01298,0.008769,0.1837,0.09904
400,0.178,0.03216,0.04683,0.2338,0.1545
500,0.3463,0.05628,0.0433,0.3355,0.2549
600,0.5992,0.0963,0.06918,0.4232,0.4681
700,0.9574,0.1598,0.1402,0.7836,0.7356
800,1.42,0.2325,0.1846,0.8497,0.8952
900,2.045,0.3616,0.3598,1.135,1.15
1000,2.781,0.4735,0.4814,1.629,1.427
1100,3.704,0.6552,0.5811,1.841,1.847
1200,4.807,0.8568,0.8302,2.247,2.255
1300,6.11,1.098,1.122,2.724,2.812
1400,7.634,1.404,1.419,3.371,3.338
1500,9.382,1.716,1.775,3.972,4.031
1600,11.38,2.09,2.238,4.809,4.704
1700,13.67,2.553,2.788,5.656,5.511
1800,16.23,3.009,3.118,6.615,6.732
1900,19.08,3.512,3.691,7.489,7.424
2000,22.66,4.128,4.241,8.433,8.67
2100,25.76,4.757,4.973,9.852,9.616
2200,29.71,5.753,5.657,11.05,10.81
2300,33.82,6.373,6.565,12.38,12.55
2400,38.55,7.163,7.981,13.87,13.58
2500,43.38,8.073,8.902,15.67,15.28
2600,48.86,9.088,9.982,16.87,17.63
2700,54.65,10.15,10.24,18.84,18.94
2800,60.87,11.44,11.7,20.7,20.87
2900,67.66,12.57,12.86,23.12,23.07
3000,75.19,15.25,18.08,36.98,36.4
