Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.005875,0.008936,0.01253,0.003196,0.01792
200,0.01613,0.03299,0.03251,0.01468,0.08854
300,0.05299,0.07728,0.117,0.04838,0.254
400,0.125,0.1836,0.3013,0.1235,0.6683
500,0.2343,0.3817,0.5878,0.3286,1.317
600,0.4,0.8256,1.14,0.6753,2.095
700,0.6408,1.589,2.063,1.045,3.573
800,0.9434,2.656,3.315,1.609,6.026
900,2.023,5.457,4.938,2.564,9.699
1000,2.775,7.119,8.253,5.375,16.01
1100,3.696,8.376,12.03,7.528,21.55
1200,4.706,11.23,16.7,9.816,34.21
1300,6.138,17.45,23.09,14.08,42.36
1400,7.378,18.94,30.88,15.59,46.98
1500,8.676,24.52,39.15,20.67,61.18
1600,11.39,33.01,46.79,27.73,77.63
1700,12.03,35.49,55.12,30.55,86.81
1800,16.2,46.2,67.94,39.72,101.7
1900,19.08,54.11,81.9,51.12,150
2000,18.75,61.59,97.76,54.81,170.3
2100,22.38,73,113.6,67.56,196.7
2200,26.52,85.63,134.3,76.94,197.6
2300,26.04,136.9,187.5,94.08,314.3
2400,29.59,114.7,181.7,105.8,284.5
2500,31.01,132.7,203.9,126.7,327.9
2600,37.64,149.9,235.1,133,380.5
2700,54.6,257.4,266.5,145.4,379.1
2800,60.87,290.5,301,165.3,432.7
2900,67.57,328.3,336.1,186.6,473.7
3000,74.86,364.8,376.6,212.9,555.9
