Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.0039,0.0009635,0.009874,0.003418,0.002233
200,0.02278,0.006301,0.0521,0.006594,0.006915
300,0.07494,0.01458,0.01739,0.0318,0.02284
400,0.1771,0.02716,0.04303,0.04023,0.03985
500,0.3473,0.05319,0.058,0.1024,0.08811
600,0.6034,0.09307,0.1558,0.15,0.168
700,0.9607,0.1501,0.3684,0.2296,0.2274
800,1.432,0.2305,0.3115,0.3842,0.3157
900,2.036,0.3345,0.4938,0.4622,0.5024
1000,2.795,0.4739,0.6206,0.7186,0.666
1100,3.726,0.6769,0.8735,1.159,1.034
1200,4.859,0.8955,1.742,1.488,1.611
1300,6.155,1.133,1.531,1.553,1.546
1400,7.694,1.433,1.745,2.03,1.925
1500,9.474,1.728,2.355,2.439,2.299
1600,11.46,2.111,2.537,2.754,2.69
1700,13.73,2.538,3.331,3.321,3.062
1800,16.43,3.778,7.454,6.266,4.605
1900,19.29,4.257,6.975,6.217,5.623
2000,22.54,4.283,5.248,5.715,5.478
2100,25.93,4.903,7.104,6.883,6.825
2200,30.05,5.597,7.128,7.346,7.479
2300,34.1,6.563,8.006,9.213,8.972
2400,38.84,7.387,9.953,10.77,10.01
2500,44.02,8.42,15.05,12.06,12.2
2600,49.44,9.574,12.51,11.75,13.95
2700,55.87,10.97,15.2,13.94,15.48
2800,62.16,12.19,15.4,16.9,16.1
2900,69.23,13.39,16.78,17.57,18.33
3000,76.63,14.99,18.75,19.84,21.02
