Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.003432,0.0005678,0.03219,0.007699,0.006834,0.006575
200,0.02767,0.004812,0.02131,0.01852,0.02338,0.02228
300,0.09296,0.01518,0.03766,0.04151,0.04055,0.03757
400,0.2237,0.03753,0.07135,0.071,0.09568,0.07036
500,0.4396,0.1093,0.1861,0.1333,0.1264,0.1413
600,0.7647,0.1935,0.2572,0.2503,0.2499,0.2544
700,1.205,0.3583,0.4092,0.4061,0.466,0.3922
800,1.767,0.542,0.5968,0.5945,0.5897,0.6492
900,2.204,0.7907,0.8506,0.8453,0.9026,0.8503
1000,3.251,1.152,1.315,1.203,1.175,1.204
1100,4.493,1.535,1.732,1.566,1.679,1.712
1200,5.857,1.957,2.113,2.151,2.094,2.174
1300,7.62,2.545,2.725,2.637,2.701,2.796
1400,9.385,3.226,3.269,3.352,3.31,3.234
1500,11.55,3.983,4.14,4.072,3.978,4.105
1600,13.89,4.781,4.81,4.906,4.925,4.938
1700,16.99,5.699,5.999,5.935,5.877,5.861
1800,20.06,6.842,6.937,7.018,7.045,6.885
1900,23.75,8.048,8.142,8.182,8.159,8.187
2000,27.45,9.315,9.205,9.088,9.043,9.036
2100,31.77,10.17,10.6,10.65,10.53,10.48
2200,36.49,12.15,12.35,12.22,11.95,12.33
2300,41.97,13.36,13.66,13.88,14.06,13.69
2400,47.5,15.05,15.44,15.56,15.49,15.47
2500,53.4,17.17,17.54,17.51,17.45,17.5
2600,60.45,19.27,19.88,19.68,19.63,19.62
2700,67.33,21.66,21.95,21.96,22.31,22
2800,75.1,24.22,24.49,24.51,24.53,24.53
2900,83.78,26.65,27.1,27.24,27.12,27.07
3000,92.25,29.71,29.83,30.32,29.89,29.96
