Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002859,0.0004838,0.01226,0.007272,0.005869,0.007211
200,0.02203,0.003541,0.01632,0.01536,0.01523,0.01611
300,0.07446,0.01229,0.03263,0.03656,0.03458,0.03572
400,0.2002,0.03512,0.0693,0.07716,0.06787,0.06871
500,0.4347,0.1012,0.1781,0.1675,0.1414,0.1178
600,0.7481,0.1846,0.239,0.2149,0.2116,0.214
700,1.051,0.3271,0.3828,0.3642,0.3894,0.4659
800,1.738,0.5163,0.568,0.5586,0.5594,0.5574
900,2.489,0.7972,0.8138,0.8063,0.8688,0.8749
1000,3.332,1.084,1.24,1.109,1.107,1.104
1100,4.543,1.45,1.677,1.549,1.493,1.598
1200,5.878,1.835,2.024,2.004,1.911,2.004
1300,7.582,2.444,2.532,2.524,2.537,2.46
1400,9.358,3.073,3.045,3.19,3.165,3.105
1500,11.56,3.768,3.867,3.773,3.804,3.864
1600,14.11,4.457,4.62,4.676,4.638,4.627
1700,16.8,5.439,5.546,5.55,5.554,5.559
1800,19.8,6.44,6.676,6.605,6.541,6.581
1900,23.62,7.527,7.834,7.74,7.768,7.738
2000,27.44,8.904,9.049,8.977,9.086,9.029
2100,31.55,10.66,10.51,10.64,10.6,10.5
2200,36.64,11.8,11.96,12.04,11.98,12.02
2300,41.45,13.36,13.64,13.53,13.69,13.57
2400,47.18,15.21,15.45,15.43,15.53,15.43
2500,53.44,17.18,17.37,17.78,17.42,17.37
2600,60.03,19.56,19.67,19.5,19.48,19.57
2700,67.49,21.65,21.94,21.85,21.86,21.81
2800,75.28,24.05,24.21,24.41,24.33,24.38
2900,83.92,26.54,26.95,27.57,26.94,26.95
3000,92.71,29.27,29.92,29.73,29.88,29.87
