Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.003469,0.00119,0.056,0.006018,0.00643,0.006421
200,0.02727,0.004464,0.01979,0.01889,0.01935,0.01885
300,0.0945,0.01494,0.04322,0.05135,0.05153,0.04647
400,0.2252,0.03526,0.07472,0.06656,0.06711,0.06657
500,0.4342,0.0734,0.1276,0.1975,0.2617,0.2023
600,0.6228,0.1608,0.3666,0.2671,0.2725,0.2608
700,1.197,0.3901,0.4015,0.4085,0.4029,0.5293
800,1.788,0.5551,0.6148,0.7156,0.6229,0.6228
900,2.511,0.8046,0.9501,0.8984,1.025,0.864
1000,3.402,1.222,1.185,1.197,1.262,1.291
1100,4.607,1.588,1.584,1.652,1.755,1.6
1200,5.995,1.994,2.175,2.106,2.152,2.093
1300,7.263,2.657,2.661,2.716,2.613,2.681
1400,9.319,3.284,3.368,3.253,3.368,3.177
1500,11.58,3.86,4.139,4.089,4.07,3.958
1600,13.89,4.804,4.941,4.818,5.181,4.895
1700,16.88,5.805,5.969,5.85,5.889,5.847
1800,19.85,6.798,6.935,7.036,7.019,6.877
1900,23.43,7.864,7.765,7.757,7.749,7.763
2000,27.13,8.742,9.228,9.117,9.107,9.055
2100,30.33,10.76,10.62,10.51,10.67,10.72
2200,36.25,11.77,12.01,12.1,12.49,12.27
2300,41.26,13.37,13.74,13.66,13.73,13.67
2400,46.53,15.23,15.77,15.37,15.52,15.52
2500,52.54,17.21,17.59,17.59,17.48,17.6
2600,59.32,19.27,19.55,19.7,19.59,19.52
2700,66.74,21.59,21.93,21.87,21.86,22.05
2800,74.45,24.01,24.44,24.34,24.43,24.42
2900,82.48,26.65,27.16,27.04,27.01,27.08
3000,91.69,29.49,30,30.14,30,30.05
