Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(collapse),OpenMP(single loop)
100,0.002758,0.0004551,0.005926,0.008814,0.007866,0.0082
200,0.02218,0.003541,0.01625,0.0168,0.01966,0.01919
300,0.07413,0.01224,0.03062,0.0299,0.0306,0.03228
400,0.1811,0.03612,0.07046,0.07126,0.06966,0.06847
500,0.395,0.0888,0.175,0.1421,0.1838,0.1253
600,0.6224,0.1878,0.2377,0.2401,0.2389,0.2414
700,1.199,0.3603,0.3898,0.392,0.3978,0.4872
800,1.778,0.5176,0.6009,0.7365,0.6068,0.5932
900,2.511,0.9349,0.9235,0.8046,0.8681,0.7989
1000,3.414,1.087,1.111,1.119,1.23,1.11
1100,4.524,1.471,1.491,1.571,1.557,1.547
1200,5.912,1.954,1.977,1.917,2.029,1.97
1300,7.503,2.542,2.448,2.626,2.452,2.617
1400,9.415,2.982,3.217,3.056,3.192,3.082
1500,11.48,3.66,3.903,3.871,3.812,3.824
1600,13.87,4.54,4.671,4.933,5.125,5.196
1700,16.97,5.591,5.806,5.967,6.024,6.053
1800,17.52,7.148,7.083,7.808,7.673,6.751
1900,19.21,7.708,8.023,7.852,8.016,7.995
2000,23.45,8.99,9.241,9.26,9.157,9.272
2100,26.67,10.46,10.68,10.67,10.68,10.76
2200,30.53,12.02,12.22,12.25,12.39,12.26
2300,35.28,14.18,13.93,13.84,14,13.91
2400,41.4,15.5,15.83,15.59,15.54,15.51
2500,52.77,17.22,17.43,17.45,17.64,17.45
2600,59.67,19.33,20.03,21.41,21.13,20.04
2700,61.45,21.57,21.91,22.31,22.32,21.97
2800,74.52,23.95,24.3,24.34,24.3,24.45
2900,82.32,26.53,27.06,26.98,27.14,26.98
3000,92.06,29.43,30.18,30.33,29.91,29.81
