Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.001988,0.006857,0.005757,0.01641,0.01311
200,0.01583,0.0575,0.02364,0.09498,0.05032
300,0.05314,0.1052,0.09256,0.09518,0.134
400,0.1243,0.3132,0.137,0.1622,0.3169
500,0.2411,0.4688,0.2137,0.282,0.5915
600,0.3977,0.8372,0.3635,0.4704,1.034
700,0.6436,1.31,0.5563,0.7558,1.613
800,0.9583,1.929,0.8394,1.042,2.465
900,1.349,2.759,1.261,1.496,4.001
1000,1.844,3.832,1.728,2.014,5.738
1100,2.464,5.068,2.327,2.634,7.285
1200,3.186,6.601,2.827,3.38,9.987
1300,4.051,8.353,3.795,4.247,13.82
1400,6.099,10.47,4.513,6.386,19.23
1500,6.188,12.87,6.778,9.65,24.75
1600,8.601,15.62,7.849,11.26,33.94
1700,9.009,18.68,11.51,13.66,43.26
1800,11.78,22.39,12.83,14.81,48.66
1900,13.92,26.06,15.25,17.16,54.51
2000,15.03,30.43,19.3,20.31,70.07
2100,18.18,35.23,20.98,23.1,79.93
2200,20.67,40.5,25.51,26.79,89.88
2300,23.12,46.13,26.8,29.95,107.9
2400,25.56,52.44,32.31,35.11,116.8
2500,29.66,59.23,37.06,38.25,135.5
2600,32.72,69.39,39.66,43.66,153
2700,37.02,77.28,47.29,47.09,169.8
2800,40.73,94.73,48.92,52.32,191.6
2900,44.66,101,54.02,59.06,214.9
3000,50.43,112.2,60.56,64.9,240.9
