Size,Linear Gauss,Tiled Single,OpenMP(outer),OpenMP(inner),OpenMP(single loop)
100,0.005847,0.01203,0.0243,0.03775,0.0681
200,0.04752,0.09727,0.04307,0.1079,0.3705
300,0.1285,0.2815,0.1262,0.283,0.4551
400,0.2502,0.7379,0.3835,0.3894,0.736
500,0.5161,1.39,0.5887,0.7139,1.119
600,0.6915,1.627,1.025,0.9492,1.565
700,0.6364,1.289,0.6549,0.7615,1.873
800,0.943,1.929,0.9313,1.032,2.592
900,1.34,2.75,1.313,1.527,3.435
1000,1.843,3.784,1.659,2.466,9.52
1100,6.835,14.99,4.103,3.123,7.219
1200,3.181,6.537,3.966,4.802,14.14
1300,11.78,24.34,5.897,4.03,15.22
1400,14.48,29.75,6.315,5.72,20.45
1500,18.91,35.87,7.292,6.752,25.95
1600,22.05,43.52,8.912,9.918,34.79
1700,26.06,51.66,9.675,12.45,41.08
1800,29.48,61.81,12.33,14.86,49.78
1900,36.75,77.13,13.17,14.94,55.56
2000,44.52,87.68,15.35,21.33,66.03
2100,18.15,36.19,21.17,22.98,79.17
2200,57.36,119.8,20.44,26.84,90.84
2300,22.39,46.5,21.02,24.62,93.67
2400,26.53,52.57,31.69,33.66,118.7
2500,28.94,59.42,34.86,39.51,127.5
2600,32.33,67.03,41.51,43,152
2700,37.39,74.73,45.21,48.19,175.1
2800,41.7,88.9,51.29,54,204.8
2900,47.05,103.7,57.46,59,209.2
3000,50.4,107.8,62.54,64.84,243.9
