Size, Linear Gauss, Tiled Single Thred, OpenMP(outer), OpenMP(inner)
2000,31.0986,21.9951,15.4755,15.3804
1000,3.91521,2.7018,1.93301,1.9186
1000,3.90305,2.70404,1.9314,1.90486
3000,105.931,74.1101,51.7272,51.4397
4,1.2074e-006,1.44889e-005,1.02629e-005,9.65921e-006
4,1.81113e-006,1.56963e-005,1.20741e-005,1.26778e-005
4,1.2074e-006,1.32814e-005,1.32814e-005,1.44889e-005
4,1.2074e-006,1.20741e-005,1.14703e-005,1.20741e-005
4,1.2074e-006,1.26778e-005,1.14703e-005,1.20741e-005
4,1.20746e-006,1.93185e-005,2.2337e-005,1.32815e-005
4,1.2074e-006,1.2074e-005,1.14703e-005,1.14704e-005
4,1.81113e-006,1.50925e-005,1.93185e-005,1.20741e-005
4,6.03672e-007,5.43334e-006,4.82961e-006,4.82961e-006
4,6.0373e-007,5.43334e-006,4.82966e-006,4.82961e-006
4,1.2074e-006,1.2074e-005,1.14703e-005,1.14703e-005
4,1.81107e-006,1.2074e-005,1.20741e-005,1.75074e-005
10,1.26777e-005,0.000258385,0.000187751,0.000189563
10,1.08666e-005,0.000274685,0.000156359,0.00026744
